time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2025-12-18 01:43:04,NODO 1.2,25.93,81.24,1004.0,3920.0,84.7,-118,-8.8
2025-12-18 02:12:59,NODO 1.2,25.93,81.33,1004.0,3915.0,84.3,-117,-7.0
2025-12-18 03:42:47,NODO 1.2,25.93,81.43,1004.0,3915.0,84.3,-117,-10.3
2025-12-18 04:42:40,NODO 1.2,25.92,81.37,1004.0,3915.0,84.3,-117,-6.8
2025-12-18 04:43:15,NODO 1.20,26.11,75.9,1005.0,3935.0,85.7,-118,-10.3
2025-12-18 05:12:35,NODO 1.2,25.9,81.39,1004.0,3915.0,84.3,-118,-9.8
2025-12-18 05:13:08,NODO 1.20,26.12,75.89,1005.0,3935.0,85.7,-117,-8.8
2025-12-18 05:42:28,NODO 1.2,25.89,81.32,1005.0,3920.0,84.7,-117,-7.0
2025-12-18 06:42:19,NODO 1.2,25.87,81.28,1005.0,3925.0,85.0,-117,-4.8
2025-12-18 07:12:11,NODO 1.2,25.87,81.19,1006.0,3920.0,84.7,-116,-4.8
2025-12-18 07:42:07,NODO 1.2,25.86,81.17,1006.0,3925.0,85.0,-117,-6.8
2025-12-18 08:12:02,NODO 1.2,25.87,81.22,1006.0,3925.0,85.0,-118,-8.8
2025-12-18 08:41:56,NODO 1.2,25.7,79.22,1006.0,3915.0,84.3,-118,-9.3
2025-12-18 09:11:51,NODO 1.2,25.36,79.29,1007.0,3915.0,84.3,-117,-6.0
2025-12-18 10:41:28,NODO 1.2,24.59,77.04,1007.0,3915.0,84.3,-117,-7.3
2025-12-18 11:11:23,NODO 1.2,24.41,78.24,1006.0,3915.0,84.3,-117,-7.0
2025-12-18 11:12:14,NODO 1.20,25.03,72.35,1007.0,3925.0,85.0,-118,-8.0
2025-12-18 11:41:17,NODO 1.2,24.41,82.44,1006.0,3915.0,84.3,-108,-6.3
