time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-15 00:00:35,INMP441,58.1,Background Noise,54.6,1.71,-105,9.8
2025-12-15 00:01:36,INMP441,58.7,Background Noise,54.7,1.64,-107,5.8
2025-12-15 00:02:36,INMP441,57.8,Background Noise,54.5,1.63,-113,1.8
2025-12-15 00:03:36,INMP441,59.0,Background Noise,54.7,1.49,-106,5.8
2025-12-15 00:04:36,INMP441,58.6,Background Noise,54.8,1.71,-105,9.8
2025-12-15 00:05:36,INMP441,57.7,Background Noise,54.6,1.46,-110,5.5
2025-12-15 00:06:36,INMP441,58.5,Background Noise,54.6,1.59,-109,6.5
2025-12-15 00:07:36,INMP441,58.3,Background Noise,54.5,1.74,-105,10.0
2025-12-15 00:08:36,INMP441,58.1,Background Noise,54.7,1.4,-116,-4.8
2025-12-15 00:09:36,INMP441,58.9,Background Noise,54.7,1.56,-107,8.5
2025-12-15 00:10:36,INMP441,58.9,Background Noise,54.5,1.44,-110,5.3
2025-12-15 00:11:36,INMP441,58.6,Background Noise,54.6,1.39,-105,8.5
2025-12-15 00:13:36,INMP441,57.9,Background Noise,54.5,1.86,-109,6.3
2025-12-15 00:14:36,INMP441,59.3,Background Noise,54.6,1.77,-106,6.8
2025-12-15 00:15:36,INMP441,57.7,Background Noise,54.7,1.39,-107,7.3
2025-12-15 00:16:36,INMP441,58.3,Background Noise,54.6,1.7,-112,1.8
2025-12-15 00:17:36,INMP441,62.3,Background Noise,54.8,1.59,-105,8.5
2025-12-15 00:18:36,INMP441,57.9,Background Noise,54.5,1.92,-110,3.8
2025-12-15 00:19:36,INMP441,57.6,Background Noise,54.6,1.78,-112,2.3
2025-12-15 00:20:36,INMP441,58.3,Background Noise,54.6,1.44,-108,7.0
2025-12-15 00:21:36,INMP441,58.3,Background Noise,54.7,1.43,-106,6.5
2025-12-15 00:22:36,INMP441,58.3,Background Noise,54.7,1.71,-107,7.0
2025-12-15 00:23:36,INMP441,58.1,Background Noise,54.6,1.48,-105,9.3
2025-12-15 00:24:36,INMP441,59.6,Background Noise,54.8,1.51,-116,-4.5
2025-12-15 00:25:36,INMP441,58.8,Background Noise,54.6,1.5,-104,10.0
2025-12-15 00:26:36,INMP441,59.1,Background Noise,54.8,1.48,-110,5.5
2025-12-15 00:27:36,INMP441,58.2,Background Noise,54.6,1.35,-106,7.3
2025-12-15 00:28:37,INMP441,58.7,Background Noise,54.7,1.48,-105,9.5
2025-12-15 00:29:37,INMP441,58.2,Background Noise,54.6,1.46,-105,10.0
2025-12-15 00:30:37,INMP441,59.9,Background Noise,54.8,1.48,-108,6.8
2025-12-15 00:31:37,INMP441,58.5,Background Noise,54.5,1.91,-116,-4.8
2025-12-15 00:32:37,INMP441,58.1,Background Noise,54.5,1.52,-107,7.8
2025-12-15 00:33:37,INMP441,59.0,Background Noise,54.9,1.46,-112,3.5
2025-12-15 00:34:37,INMP441,59.4,Background Noise,54.5,1.52,-109,4.0
2025-12-15 00:35:37,INMP441,58.5,Background Noise,54.6,1.55,-108,7.3
2025-12-15 00:36:37,INMP441,58.2,Background Noise,54.8,1.46,-106,6.5
2025-12-15 00:37:37,INMP441,57.8,Background Noise,54.6,1.4,-107,7.8
2025-12-15 00:38:37,INMP441,59.0,Background Noise,54.7,1.77,-111,3.5
2025-12-15 00:39:37,INMP441,57.7,Background Noise,54.8,1.66,-105,9.5
2025-12-15 00:40:37,INMP441,58.6,Background Noise,54.7,1.74,-105,10.0
2025-12-15 00:41:37,INMP441,57.7,Background Noise,54.8,1.65,-116,-4.8
2025-12-15 00:42:37,INMP441,58.3,Background Noise,54.6,1.52,-113,2.3
2025-12-15 00:43:37,INMP441,58.6,Background Noise,54.6,1.79,-109,1.3
2025-12-15 00:45:37,INMP441,58.0,Background Noise,54.7,1.34,-105,6.5
2025-12-15 00:46:37,INMP441,57.6,Background Noise,54.5,1.48,-104,9.8
2025-12-15 00:47:37,INMP441,58.7,Background Noise,54.6,1.54,-110,3.5
2025-12-15 00:48:37,INMP441,58.7,Background Noise,54.5,1.46,-107,7.5
2025-12-15 00:49:37,INMP441,58.2,Background Noise,54.8,1.42,-105,10.0
2025-12-15 00:50:37,INMP441,58.4,Background Noise,54.8,1.63,-110,4.5
2025-12-15 00:51:37,INMP441,58.6,Background Noise,54.7,1.43,-105,9.5
2025-12-15 00:52:37,INMP441,59.2,Background Noise,54.6,1.5,-112,3.5
2025-12-15 00:53:37,INMP441,58.9,Background Noise,54.9,1.4,-105,10.0
2025-12-15 00:54:38,INMP441,58.2,Background Noise,54.7,1.52,-108,7.0
2025-12-15 00:55:38,INMP441,59.0,Background Noise,54.6,1.38,-107,6.3
2025-12-15 00:56:38,INMP441,58.4,Background Noise,54.7,1.72,-106,8.3
2025-12-15 00:57:38,INMP441,58.4,Background Noise,54.5,1.41,-113,-3.8
2025-12-15 00:58:38,INMP441,58.8,Background Noise,54.8,1.49,-110,4.8
2025-12-15 00:59:38,INMP441,59.2,Background Noise,54.8,1.49,-105,9.3
2025-12-15 01:00:38,INMP441,59.0,Background Noise,54.9,1.52,-110,5.8
2025-12-15 01:01:38,INMP441,57.8,Background Noise,54.6,1.53,-116,-4.3
2025-12-15 01:02:38,INMP441,58.6,Background Noise,54.7,1.5,-106,3.5
2025-12-15 01:03:38,INMP441,58.1,Background Noise,54.7,1.51,-109,6.5
2025-12-15 01:04:38,INMP441,58.5,Background Noise,54.7,1.74,-108,6.8
2025-12-15 01:05:38,INMP441,60.0,Background Noise,54.5,1.73,-105,7.0
2025-12-15 01:06:38,INMP441,58.6,Background Noise,54.9,1.51,-113,2.3
2025-12-15 01:07:38,INMP441,57.7,Background Noise,54.8,1.44,-116,-3.3
2025-12-15 01:08:38,INMP441,58.5,Background Noise,54.4,1.47,-106,6.8
2025-12-15 01:09:38,INMP441,59.3,Background Noise,54.4,1.55,-108,7.0
2025-12-15 01:10:38,INMP441,58.0,Background Noise,54.7,1.37,-106,9.0
2025-12-15 01:11:38,INMP441,58.5,Background Noise,54.5,1.46,-106,8.5
2025-12-15 01:12:38,INMP441,59.3,Background Noise,54.7,1.77,-109,6.0
2025-12-15 01:13:38,INMP441,58.4,Background Noise,54.7,1.45,-109,6.5
2025-12-15 01:14:38,INMP441,57.9,Background Noise,54.7,1.5,-112,2.5
2025-12-15 01:15:38,INMP441,58.5,Background Noise,54.5,1.55,-110,4.5
2025-12-15 01:16:38,INMP441,59.5,Background Noise,54.6,1.74,-116,-5.5
2025-12-15 01:17:38,INMP441,57.9,Background Noise,54.7,1.49,-106,7.0
2025-12-15 01:18:38,INMP441,59.1,Background Noise,54.7,1.38,-105,9.5
2025-12-15 01:19:38,INMP441,59.4,Background Noise,54.7,1.52,-108,6.5
2025-12-15 01:20:38,INMP441,59.4,Background Noise,54.6,1.43,-105,9.5
