time,deviceName,accXRMS,accYRMS,accZRMS,temperature,humidity,bvoc,iaq,anomaly
2025-11-30 00:00:00,optaA,5.0,142.0,4094.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:01,optaA,8.0,140.0,4094.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:02,optaA,5.0,138.0,4091.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:03,optaA,7.0,142.0,4093.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:04,optaA,4.0,140.0,4096.0,42.51,71.17,0.7,77.0,-4.44
2025-11-30 00:00:05,optaA,9.0,139.0,4095.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:06,optaA,9.0,139.0,4090.0,42.51,71.17,0.7,77.0,-4.46
2025-11-30 00:00:07,optaA,6.0,139.0,4098.0,42.51,71.17,0.7,77.0,-4.44
2025-11-30 00:00:08,optaA,6.0,142.0,4092.0,42.51,71.17,0.7,77.0,-4.45
2025-11-30 00:00:09,optaA,7.0,142.0,4095.0,42.51,71.17,0.71,78.0,-4.45
2025-11-30 00:00:10,optaA,5.0,141.0,4096.0,42.51,71.17,0.71,78.0,-4.45
2025-11-30 00:00:11,optaA,4.0,145.0,4091.0,42.51,71.17,0.71,78.0,-4.45
2025-11-30 00:00:12,optaA,5.0,140.0,4089.0,42.5,71.2,0.71,79.0,-4.45
2025-11-30 00:00:13,optaA,6.0,141.0,4090.0,42.5,71.2,0.71,79.0,-4.45
2025-11-30 00:00:14,optaA,5.0,142.0,4098.0,42.5,71.2,0.71,79.0,-4.45
2025-11-30 00:00:15,optaA,4.0,136.0,4094.0,42.5,71.2,0.71,79.0,-4.45
2025-11-30 00:00:16,optaA,9.0,143.0,4091.0,42.5,71.19,0.7,77.0,-4.46
2025-11-30 00:00:17,optaA,5.0,138.0,4098.0,42.5,71.19,0.7,77.0,-4.46
2025-11-30 00:00:18,optaA,6.0,139.0,4088.0,42.5,71.19,0.7,77.0,-4.46
2025-11-30 00:00:19,optaA,6.0,138.0,4090.0,42.5,71.19,0.71,78.0,-4.45
2025-11-30 00:00:20,optaA,9.0,137.0,4087.0,42.5,71.19,0.71,78.0,-4.46
2025-11-30 00:00:21,optaA,5.0,139.0,4092.0,42.5,71.19,0.71,78.0,-4.45
2025-11-30 00:00:22,optaA,7.0,136.0,4088.0,42.5,71.18,0.71,78.0,-4.46
2025-11-30 00:00:23,optaA,8.0,144.0,4093.0,42.5,71.18,0.71,78.0,-4.46
2025-11-30 00:00:24,optaA,8.0,143.0,4092.0,42.5,71.18,0.71,78.0,-4.46
2025-11-30 00:00:25,optaA,3.0,138.0,4088.0,42.5,71.18,0.71,79.0,-4.43
2025-11-30 00:00:26,optaA,7.0,141.0,4096.0,42.5,71.18,0.71,79.0,-4.46
2025-11-30 00:00:27,optaA,7.0,146.0,4094.0,42.5,71.18,0.71,79.0,-4.45
2025-11-30 00:00:28,optaA,7.0,140.0,4091.0,42.51,71.16,0.71,79.0,-4.46
2025-11-30 00:00:29,optaA,6.0,142.0,4092.0,42.51,71.16,0.71,79.0,-4.46
2025-11-30 00:00:30,optaA,5.0,138.0,4091.0,42.51,71.16,0.71,79.0,-4.45
2025-11-30 00:00:31,optaA,5.0,141.0,4093.0,42.5,71.18,0.7,76.0,-4.45
2025-11-30 00:00:32,optaA,3.0,139.0,4095.0,42.5,71.18,0.7,76.0,-4.44
2025-11-30 00:00:33,optaA,5.0,138.0,4094.0,42.5,71.18,0.7,76.0,-4.45
2025-11-30 00:00:34,optaA,8.0,140.0,4089.0,42.5,71.18,0.7,76.0,-4.46
2025-11-30 00:00:35,optaA,7.0,141.0,4093.0,42.51,71.16,0.69,75.0,-4.45
2025-11-30 00:00:36,optaA,5.0,138.0,4089.0,42.51,71.16,0.69,75.0,-4.45
2025-11-30 00:00:38,optaA,9.0,139.0,4095.0,42.51,71.16,0.69,75.0,-4.45
2025-11-30 00:00:38,optaA,6.0,140.0,4092.0,42.5,71.18,0.69,75.0,-4.45
2025-11-30 00:00:40,optaA,6.0,139.0,4095.0,42.5,71.18,0.69,75.0,-4.44
2025-11-30 00:00:41,optaA,5.0,134.0,4096.0,42.5,71.18,0.69,75.0,-4.44
2025-11-30 00:00:41,optaA,4.0,142.0,4093.0,42.51,71.16,0.7,77.0,-4.44
2025-11-30 00:00:43,optaA,5.0,140.0,4094.0,42.51,71.16,0.7,77.0,-4.45
2025-11-30 00:00:44,optaA,7.0,142.0,4091.0,42.51,71.16,0.7,77.0,-4.46
2025-11-30 00:00:45,optaA,4.0,141.0,4096.0,42.5,71.19,0.71,80.0,-4.44
2025-11-30 00:00:46,optaA,6.0,138.0,4090.0,42.5,71.19,0.71,80.0,-4.45
2025-11-30 00:00:47,optaA,5.0,144.0,4089.0,42.5,71.19,0.71,80.0,-4.45
2025-11-30 00:00:48,optaA,5.0,142.0,4094.0,42.51,71.16,0.71,79.0,-4.45
2025-11-30 00:00:49,optaA,6.0,142.0,4095.0,42.51,71.16,0.71,79.0,-4.45
2025-11-30 00:00:50,optaA,5.0,141.0,4096.0,42.51,71.16,0.71,79.0,-4.45
2025-11-30 00:00:51,optaA,5.0,138.0,4092.0,42.5,71.19,0.72,82.0,-4.45
2025-11-30 00:00:52,optaA,4.0,139.0,4094.0,42.5,71.19,0.72,82.0,-4.45
2025-11-30 00:00:53,optaA,6.0,142.0,4092.0,42.5,71.19,0.72,82.0,-4.45
2025-11-30 00:00:54,optaA,6.0,145.0,4092.0,42.51,71.16,0.72,81.0,-4.45
2025-11-30 00:00:55,optaA,5.0,139.0,4095.0,42.51,71.16,0.72,81.0,-4.45
2025-11-30 00:00:56,optaA,3.0,141.0,4096.0,42.51,71.16,0.72,81.0,-4.44
2025-11-30 00:00:57,optaA,4.0,139.0,4093.0,42.51,71.16,0.72,81.0,-4.45
2025-11-30 00:00:58,optaA,7.0,139.0,4089.0,42.51,71.16,0.72,81.0,-4.45
2025-11-30 00:00:59,optaA,7.0,142.0,4093.0,42.51,71.16,0.72,81.0,-4.46
