time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2025-12-24 00:01:43,NODO 1.7,24.98,80.79,1005.0,3915.0,89.6,-103,10.8
2025-12-24 00:02:01,NODO 1.16,25.75,75.83,1005.0,3935.0,89.3,-112,-8.8
2025-12-24 00:02:04,NODO 1.10,24.99,79.98,1005.0,3915.0,89.3,-84,14.5
2025-12-24 00:02:44,NODO 1.1,25.3,79.08,1004.0,3915.0,88.7,-108,7.0
2025-12-24 00:03:44,NODO 1.3,25.42,76.35,1005.0,3891.0,88.2,-95,13.0
2025-12-24 00:05:24,NODO 1.5,25.74,78.15,1004.0,3915.0,88.2,-99,12.0
2025-12-24 00:05:26,NODO 1.19,24.35,80.46,1005.0,3915.0,88.0,-91,14.0
2025-12-24 00:06:55,NODO 1.28,25.89,86.86,1005.0,3900.0,87.9,-109,6.0
2025-12-24 00:08:05,NODO 1.15,24.71,92.94,1005.0,3896.0,87.7,-115,-1.8
2025-12-24 00:08:39,NODO 1.21,25.86,74.29,1005.0,3891.0,87.7,-117,-6.8
2025-12-24 00:11:55,NODO 1.6,24.55,83.3,1005.0,3915.0,87.7,-88,14.0
2025-12-24 00:13:16,NODO 1.25,23.7,84.16,1005.0,3935.0,87.9,-115,-0.8
2025-12-24 00:13:43,NODO 1.4,25.44,75.89,1005.0,3945.0,88.3,-108,6.8
2025-12-24 00:14:08,NODO 1.12,24.96,81.42,1005.0,3920.0,88.6,-105,9.8
2025-12-24 00:14:16,NODO 1.17,25.13,76.35,1004.0,3891.0,88.6,-88,11.8
2025-12-24 00:14:36,NODO 1.22,25.62,78.13,1004.0,3915.0,88.6,-102,9.0
2025-12-24 00:16:37,NODO 1.26,25.38,82.32,1005.0,3915.0,88.4,-108,6.0
